Nationality,First Language,University Name,Level of Study,How long have you been studying in English-medium Institution?,"Reading Comprehension 
(Understanding academic text)",Listening Skills (Understanding lectures and spoken English),Speaking Skills (Fluency and confidence in spoken communication),Writing Skills (Ability to write academic papers and assignments),I have recived formal English language education since childhood.,My school education prepared me well for English-medium university studies.,My English proficiency has improved since I started my university studies.,English is necessary for my academics success in India.,"Even without strong English proficiency, I believe I can succeed in my studies.","I regularly parctice English outside my academics studies. (Watching moveis, reading books, or speaking with friends)",My motivation to learn English is influenced by career opportunities.,The region I come from has influenced my English Proficiency.,"I actively seek opportunities to improve my English skills. ( joining language courses, speaking clubs, or tutoring)","In a multilingual country like India, English is necessary for effective communication.",My home country's education system provided strong English Language training.,I think foreign students face more language difficulties compared to Indian students in Indian Universities.,Indian students also face challenges with academic English despite growing up in a multilingual environment.,"Language support programs (such as English courses, peer tutoring, or writing centers) should be improved in Indian Universities.",My university provides enough language support for students struggling with English.,"More resources (such as language courses, tutoring, or language labs) should be available to help students improve their English proficiency.",I believe my English skills will improve through social interaction with peers and faculty members.,Language barriers have affected my ability to form friendships and participate in university activities.,What challenges have you faced in learning or using English at your university ?,What strategies or resources have helped you improve your English proficiency ?,"Do you think your university should implement new languages support programs? Yes, what kind ?",Student_Type,Proficiency_Score
Tajik,Tajiki,University of Lucknow,Undergraduate,1-5 years,3,3,3,3,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Nothing,"Reading books, writing, speaking, movies,","Yes!
Absolutely, in my view point one of necessary language in 21st century is a Russia language Why? 
Because Russia is one transition into modernity, which has involved a series of significant political, social, cultural, and economic changes throughout its history.
",Foreign,3.0
Kachin,Kachin,Lucknow,Undergraduate,More than 5 years,2,2,3,2,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,"If someone doesn't study English at a young age, when they grow up, Whether they are going to study or work abroad, it makes it difficult.",listening to English songs; Watching English movies and Chatting with friends.,"It should be implemented. Because English is an important subject for everyone. If We go to study or work abroad without learning English, We will face difficulties.",Foreign,2.25
Namibian,Oshiwambo,University of Lucknow,Undergraduate,1-5 years,3,1,1,4,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Neutral,Strongly Agree,Language barriers,Reading,Not new they should improve english speaking,Foreign,2.25
Sri Lankan,Sinhala,University of Lucknow,Postgraduate,1-5 years,4,4,4,4,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Accents,"Social media, reading books, academic writings",Public speaking training,Foreign,4.0
Tajik,Shugni,Lucknow University,Postgraduate,1-5 years,4,5,3,3,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Difficulty understanding the pronunciation of teachers and classmates,"Comunication with friends, watching movies and reading books.",No,Foreign,3.75
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,4,3,3,3,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Nothing,English speaking practice,"
Other languages traning program 
",Indian,3.25
Indian,Kannada,University of mysore,Postgraduate,More than 5 years,4,4,3,4,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Not able to find the right words describes something,Interaction with other people,"No, it is up to us to learn when we have reached this level of education",Indian,3.75
Madagascar,Malagasy,University of Lucknow,Undergraduate,1-5 years,3,4,3,3,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Accent,"Movies, songs, online tutorial, Duolingo",I don't know,Foreign,3.25
Sri Lankan,Sinhala,University of Mysore,Postgraduate,More than 5 years,4,4,3,4,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Communication barriers,Skill Development Programs,Yes. Communication skill development program,Foreign,3.75
Indian,Malayalam,EFLU,Postgraduate,More than 5 years,4,4,3,5,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,"My university is a place of multiple bilinguals, which at first was difficult to understand due to accent and tone variety. Also, back home I was surrounded with my native language even in school and colleges. So, this sudden change in the language environment shook me a bit initially.",I mostly used movies and social media content for pronunciation and vocabulary use. Another method that worked for me was immersion amongst the speakers.,"I have heard about mentoring/tutoring, spoken classes which go parallel with the studies in foreign universities. This can be a help for many.",Indian,4.0
Indian,English,Delhi University,Postgraduate,More than 5 years,4,4,4,4,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,"Academic writing requires professional guidance, which is not found in the university.","Reading books, watching movies, daily interaction","Yes, especially for academic writing. We need editorial and proof-reading services provided by the University to improve the readability of our research papers.",Indian,4.0
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,5,5,4,3,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Teacher ka English me samjhna,Technology,Pata nhi,Indian,4.25
