Nationality,First Language,University Name,Level of Study,How long have you been studying in English-medium Institution?,"Reading Comprehension 
(Understanding academic text)",Listening Skills (Understanding lectures and spoken English),Speaking Skills (Fluency and confidence in spoken communication),Writing Skills (Ability to write academic papers and assignments),I have recived formal English language education since childhood.,My school education prepared me well for English-medium university studies.,My English proficiency has improved since I started my university studies.,English is necessary for my academics success in India.,"Even without strong English proficiency, I believe I can succeed in my studies.","I regularly parctice English outside my academics studies. (Watching moveis, reading books, or speaking with friends)",My motivation to learn English is influenced by career opportunities.,The region I come from has influenced my English Proficiency.,"I actively seek opportunities to improve my English skills. ( joining language courses, speaking clubs, or tutoring)","In a multilingual country like India, English is necessary for effective communication.",My home country's education system provided strong English Language training.,I think foreign students face more language difficulties compared to Indian students in Indian Universities.,Indian students also face challenges with academic English despite growing up in a multilingual environment.,"Language support programs (such as English courses, peer tutoring, or writing centers) should be improved in Indian Universities.",My university provides enough language support for students struggling with English.,"More resources (such as language courses, tutoring, or language labs) should be available to help students improve their English proficiency.",I believe my English skills will improve through social interaction with peers and faculty members.,Language barriers have affected my ability to form friendships and participate in university activities.,What challenges have you faced in learning or using English at your university ?,What strategies or resources have helped you improve your English proficiency ?,"Do you think your university should implement new languages support programs? Yes, what kind ?"
Indian,Marathi,Savitribai phule pune university,Postgraduate,1-5 years,Moderate,Moderate,Weak,Weak,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,I cant speak english very fluently this is one challenge. But slowly we try it. And other hand my friend speak fast more than me..,We have to do practise.with our friend. We should make our circle multiliungle.,No. In my faculty there is no program on languages.
Ugandan,English,University of Lucknow,Undergraduate,More than 5 years,Moderate,Weak,Moderate,Moderate,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly Agree,Understanding is difficult to the people i communicate with.,No strategy,Yes.by teaching all the courses in English
Botswana,English,University of Lucknow,Undergraduate,More than 5 years,Strong,Strong,Moderate,Strong,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly Agree,Sometimes they don’t understand English some of them they dont want to speak English,Reading books and having conversations with my foreign friends not Indians,Just English will help especially for the lecturers
Indian,Marathi,Morden college of arts science and commerce,Undergraduate,More than 5 years,Moderate,Moderate,Moderate,Moderate,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Lacture,No,Yes
Indian,Marathi,SPPU,Undergraduate,Less than 1 year,Moderate,Very Strong,Strong,Strong,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,"Talking to foreign people ,",books and movies,yes
Indian,Marathi,Savitribai pule university,Undergraduate,More than 5 years,Strong,Moderate,Moderate,Moderate,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly agree,Agree,Teachers did not use english speaking,Don't know,Yes
Sri Lankan,Sinhala,"Modern college , pune",Undergraduate,1-5 years,Strong,Moderate,Moderate,Moderate,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Indian pronunciation and accent,"Speaking in english with foreign students
Watching movies",Yes.
Nigeria,Tiv,Lucknow university,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly Agree,"Teachers don’t use English so, I’m often not able to understand what is been taught in class",I already know how to read and write English,"Yes 
English language speaking courses for Indians and teachers should be encouraged to teach in English"
Indian,Hindi,University of lucknow,Postgraduate,More than 5 years,Strong,Weak,Moderate,Moderate,Agree,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Understanding,English language news,Yes
Sri lankan,Sinhala,University of Lucknow,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Strong,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Understanding problem with indian students bcz most of them cannot communicate in English,"Watching movies, speaking with friends, reading newspapers, collecting vocabulary","Yes, they should include English or Hindi as compulsory subjects for every courses"
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Strong,Moderate,Moderate,Moderate,Neutral,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Using English words,Some English teaching apps,Yes
Sri Lankan,Sinhala,Savitribai Phule Pune University,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,I have never faced such challenges as I'm a postgraduate student from the English Department of my university.,"Mostly the academic as well as other reading materials available both online and offline. Also watching movies, drama series, interacting with other international students.","As far as I know there are programs in my university offered by the International Centre, which specially designed to support the international students who lack the English language skills. I'm not aware of any courses or programs available for the Indian students as such."
Indian,Hindi,University of Lucknow,Postgraduate,1-5 years,Moderate,Weak,Weak,Strong,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Disagree,Agree,English lecture not understand,Online Learning,No
Gambian,English.,Symbiosis International University,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Strong,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Everything was so well,"Books, NewSPAPER, and other important learning materials.",No
Mauritian,Creole,Lucknow University,Postgraduate,More than 5 years,Strong,Strong,Strong,Strong,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,"Though english is commonly used as a mean to communicate at my university, the intensity of English proficiency (this comprises the choice of vocabulary, accent, and comprehension of words) varied from person to person, so to facilitate communication I had to rely not only on language but rather emotional intelligence as well. 
",Constant learning and expansion of my English vocabulary has helped me to improve my language skills,"Yes, Language support programs should be provided to facilitate one's communication with the rest. Thereby, both formal and informal Language support programs should be provided for situation-appropriate communication."
Bangladeshi,Chakma,Pune University,Undergraduate,More than 5 years,Moderate,Moderate,Moderate,Strong,Strongly disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly Agree,Strongly disagree,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly Agree,Using,Motivational video in English medium,Teaching language skill
Congolese,Swahili,Symbiosis,Undergraduate,Less than 1 year,Moderate,Weak,Weak,Moderate,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Understanding and Speaking fluently in English,"Speaking, reading, asking questions, listening and watching movies","Definitely, kind of training in English"
Indian,Hindi,Delhi University,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Disagree,Strongly disagree,I have not faced any challenge but I am aware of the challenges or problems faced by my classmates and peers.,"First and foremost, being a student of Linguistics, that has helped me immensely helped me understand the intricacies of grammar structure, syntactic and phonetic/phonological aspects of English language. Reading good books, watching English movies (without the subtitles), conversing in English whenever possible, checking for correct pronunciation and usage of words.","Yes, I believe program where there are remedial language classes, government funded subsidized language classes, bilingual language classes as well as ESL classes might be helpful for students at the university level. There should also be sufficient and well stocked resource materials and books for students including students with disabilities (for example, VI and HI)."
Nepali,Nepali,University of Lucknow,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Very Strong,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,I have been faced Less confidence and fluency related challenges .,Daily speaking practices .,Not yet .
Bangladesh,Bangla,University of Lucknow,Undergraduate,Less than 1 year,Moderate,Moderate,Moderate,Moderate,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Overcoming Fear of Speaking and Building Confidence.,"TV shows, movies, news programs and videos on youtube",IELTS course
Indian,Telugu,Bharathiar University,Undergraduate,More than 5 years,Strong,Strong,Strong,Very Strong,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Neutral,Some of the guys not confident on there understanding levels,By Actions while speaking,Best should start from taechers.. taechers must have high level of English to teach students.
Egyptian,Arabic,University of Delhi,Undergraduate,More than 5 years,Very strong,Very Strong,Strong,Strong,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,"Understanding complex academic texts, expressing ideas clearly in writing, participating in discussions confidently, and adapting to different accents and fast speech in lectures.","Practicing regularly through reading, writing, speaking, and listening, using English media (books, podcasts, movies), engaging in conversations with fluent speakers, and utilizing language apps.

","Yes, my university should implement language support programs such as academic writing workshops, conversation clubs, pronunciation training, and tutoring services to help students improve their English proficiency.

"
Indian,Marathi,"Savitribai Phule University, Pune",Postgraduate,1-5 years,Strong,Moderate,Moderate,Strong,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly Agree,NA,Good communication,"Yes,Need to improve in better acknowledge"
Indian,Marathi,Azim Premji University,Postgraduate,1-5 years,Moderate,Moderate,Moderate,Strong,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Neutral,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly agree,Strongly disagree,None.,Satisfactory command on grammar . Constant interaction with people fluent at English. Daily reading.,"Yes. They are already providing such programs even before the academic program starts and also during the program they provide help. But, they can introduce new programs for those who want to learn the local language (e.g. Kannada)."
Mosotho,Sesotho,Lucknow university,Undergraduate,1-5 years,Very strong,Strong,Strong,Strong,Strongly agree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Indians don't understand English,Reading books,"Yes
English is needed to go International 
English being taught as a subject in all departments"
Sri Lankan,Sinhala,Punjab University,Undergraduate,1-5 years,Very strong,Very Strong,Very Strong,Strong,Strongly agree,Agree,Agree,Agree,Strongly disagree,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,None,Reading,"Yes, IELTS training"
Sri Lankan,Sinhala,"University of Mysore , Maharaja College",Postgraduate,1-5 years,Strong,Strong,Moderate,Moderate,Neutral,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Mostly in southern indian universities we can see the understanding difficulties in English accent . Also the exams are tough for the students .,"Attending conferences improve the listening abilities , public speeches , reading research publications and watching interested interviews in any areas or subjects .",Yes . I hope if they provide a platform like English academies that help students to improve their communication . Also if universities provide any support for preparation of Higher education entrance English exams like IELTS that would be a great help for students.
Indian,Marathi,Azim Premji university,Postgraduate,Less than 1 year,Moderate,Moderate,Weak,Weak,Strongly disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Agree,Strongly disagree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,"In initial stage I was not able to interact with my classmates and faculty , which affected my academic performance in 1st semester.",ARC(Academic resource centre)support from University helped to decide approach of learning english.and anyways have to attend lectures in english and submit assignments which automatically makes used to with english.,They have already implemented
Indian,Malayalam,Azim Premji University,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,None,Consuming more media and active engagement through communication,"Yes, give access to education resources especially of the visual medium for students facing a lots of difficulties."
Namibian,English,Lucknow University,Undergraduate,1-5 years,Strong,Strong,Very Strong,Strong,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Neutral,Agree,Strongly Agree,Language barrier,Writing essays,English
Sri Lankan,Sinhala,University of lucknow,Postgraduate,1-5 years,Moderate,Strong,Moderate,Moderate,Neutral,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Neutral,"The challenges I have faced in learning or using English at my university include difficulties in academic writing, and maintaining clarity.Public speaking, editing, and understanding technical terms in media and research were also challenging. However, continuous practice and exposure have helped me improve.

","To improve my English proficiency, I have used academic reading, writing practice, and constant exposure to journalism and media content. Engaging in research, presentations, and scriptwriting has enhanced my skills. Additionally, proofreading, feedback from mentors, and practical experience in theater and media projects have helped me refine my language use.

","Yes, my university should implement language support programs, such as academic writing workshops, public speaking sessions etc. Interactive sessions, peer reviews, and personalized feedback would help students improve their proficiency effectively.

"
Fijian,Hindi Fiji Baat,University of Lucknow,Postgraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Neutral,Understanding indian pronunciation of English words.,Reading extensively,"Writing, reading, listening and speaking workshops, peer tutoring."
Fijian,Hindi,University of Lucknow,Postgraduate,More than 5 years,Very strong,Very Strong,Strong,Strong,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,The English dialect used by professors or students at my university is hard to understand.,"Reading books, watching English movies or even using English to communicate whenever necessary have helped me a lot .",Yes definitely. Looking at the vast difference in language ( referring to international students with different languages) i guess English should be the medium for communication as well as teaching should be done in English which would help both local and international students .
Motswana,Setswana,University of Lucknow,Undergraduate,More than 5 years,Very strong,Very Strong,Very Strong,Very Strong,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Neutral,Neutral,Strongly agree,Disagree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Agree,Disagree,Agree,A lot of Indian students and faculty members do not know English at all,I have never practiced English because I’ve always known it,"Yes my friend are struggling , they should make a semester dedicated to English or a module"
Namibia,English,University of Lucknow,Undergraduate,1-5 years,Moderate,Weak,Moderate,Strong,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Sometimes we don’t understand each other,"Reading books , interact with different people","Yes ,"
Tajik,Tajik,University of Lucknow,Undergraduate,1-5 years,Strong,Strong,Strong,Strong,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Strongly Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Strongly Agree,"Yes of course, some common challenges that students often face when learning or using English in an academic setting, like vocabulary and academic writing, pronunciation and accent and other...","Reading Regularly: Reading books, articles, or even social media in English helps improve vocabulary and understanding of sentence structure.
Listening to English Media: Watching movies,
language exchange, speaking with native English speakers or other learners can help practice speaking and improve confidence, 
online courses and Apps: Websites and apps like Duolingo can help us to improve our English language! 

","Yes , Absolutely, in my view point one of necessary language in 21st century is a Russia language Why? 
Because Russia is one transition into modernity, which has involved a series of significant political, social, cultural, and economic changes throughout its history."
Tajik,Tajiki,University of Lucknow,Undergraduate,1-5 years,Moderate,Moderate,Moderate,Moderate,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Nothing,"Reading books, writing, speaking, movies,","Yes!
Absolutely, in my view point one of necessary language in 21st century is a Russia language Why? 
Because Russia is one transition into modernity, which has involved a series of significant political, social, cultural, and economic changes throughout its history.
"
Kachin,Kachin,Lucknow,Undergraduate,More than 5 years,Weak,Weak,Moderate,Weak,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,"If someone doesn't study English at a young age, when they grow up, Whether they are going to study or work abroad, it makes it difficult.",listening to English songs; Watching English movies and Chatting with friends.,"It should be implemented. Because English is an important subject for everyone. If We go to study or work abroad without learning English, We will face difficulties."
Namibian,Oshiwambo,University of Lucknow,Undergraduate,1-5 years,Moderate,Very Weak,Very Weak,Strong,Strongly agree,Strongly disagree,Strongly disagree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Neutral,Strongly Agree,Language barriers,Reading,Not new they should improve english speaking
Sri Lankan,Sinhala,University of Lucknow,Postgraduate,1-5 years,Strong,Strong,Strong,Strong,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Accents,"Social media, reading books, academic writings",Public speaking training
Tajik,Shugni,Lucknow University,Postgraduate,1-5 years,Strong,Very Strong,Moderate,Moderate,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Difficulty understanding the pronunciation of teachers and classmates,"Comunication with friends, watching movies and reading books.",No
Indian,Hindi,Lucknow University,Postgraduate,More than 5 years,Strong,Moderate,Moderate,Moderate,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Nothing,English speaking practice,"
Other languages traning program 
"
Indian,Kannada,University of mysore,Postgraduate,More than 5 years,Strong,Strong,Moderate,Strong,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Not able to find the right words describes something,Interaction with other people,"No, it is up to us to learn when we have reached this level of education"
Madagascar,Malagasy,University of Lucknow,Undergraduate,1-5 years,Moderate,Strong,Moderate,Moderate,Disagree,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,Disagree,Accent,"Movies, songs, online tutorial, Duolingo",I don't know
Sri Lankan,Sinhala,University of Mysore,Postgraduate,More than 5 years,Strong,Strong,Moderate,Strong,Agree,Agree,Neutral,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Communication barriers,Skill Development Programs,Yes. Communication skill development program
Indian,Malayalam,EFLU,Postgraduate,More than 5 years,Strong,Strong,Moderate,Very Strong,Strongly agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,"My university is a place of multiple bilinguals, which at first was difficult to understand due to accent and tone variety. Also, back home I was surrounded with my native language even in school and colleges. So, this sudden change in the language environment shook me a bit initially.",I mostly used movies and social media content for pronunciation and vocabulary use. Another method that worked for me was immersion amongst the speakers.,"I have heard about mentoring/tutoring, spoken classes which go parallel with the studies in foreign universities. This can be a help for many."
Indian,English,Delhi University,Postgraduate,More than 5 years,Strong,Strong,Strong,Strong,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Neutral,"Academic writing requires professional guidance, which is not found in the university.","Reading books, watching movies, daily interaction","Yes, especially for academic writing. We need editorial and proof-reading services provided by the University to improve the readability of our research papers."
